"","location","date","High Temp","Low Temp","Day Average Temp","Precipitation","Dew Point","High","Low","Average","Max Wind Speed","Visibiilty","Sea Level Pressure","Actual Time"
"X2...1615","me/portland/KPWM","2023-11-28","38","27","33.13","0.00","19.58","26","13","19.58","18","10","29.7","9h 16m"
"X2...1616","me/portland/KPWM","2023-11-29","32","24","27.42","0.00","13.17","16","11","13.17","17","10","29.94","9h 14m"
"X2...1617","me/portland/KPWM","2023-11-30","42","25","34.92","0.00","21.67","29","16","21.67","12","10","29.99","9h 13m"
"X2...1618","me/portland/KPWM","2023-12-01","54","35","44.21","0.00","33.38","43","27","33.38","12","10","30.01","9h 11m"
"X2...1619","me/portland/KPWM","2023-12-02","47","39","43.09","0.08","41.21","44","39","41.21","7","10","30","9h 10m"
"X2...1620","me/portland/KPWM","2023-12-03","39","34","36.63","0.00","35.5","38","34","35.5","13","10","30.04","9h 8m"
"X2...1621","me/portland/KPWM","2023-12-04","34","32","32.37","0.74","31.84","33","31","31.84","13","10","29.73","9h 7m"
"X2...1622","me/portland/KPWM","2023-12-05","32","25","29.49","0.01","25.97","30","19","25.97","9","10","30","9h 6m"
"X2...1623","me/portland/KPWM","2023-12-06","28","19","22.04","0.00","15.81","19","14","15.81","15","10","29.98","9h 4m"
"X2...1624","me/portland/KPWM","2023-12-07","28","13","20","0.00","14.38","18","10","14.38","9","10","29.93","9h 3m"
"X2...1625","me/portland/KPWM","2023-12-08","38","15","24.79","0.00","19.54","25","13","19.54","7","10","30.21","9h 2m"
"X2...1626","me/portland/KPWM","2023-12-09","45","24","35.31","0.00","32.25","41","22","32.25","6","10","30.23","9h 1m"
"X2...1627","me/portland/KPWM","2023-12-10","52","36","42.6","0.00","42.48","52","36","42.48","14","6","30.04","9h 0m"
"X2...1628","me/portland/KPWM","2023-12-11","52","34","42.62","2.15","40.69","52","29","40.69","14","10","29.87","9h 0m"
"X2...1629","me/portland/KPWM","2023-12-12","40","28","34.42","0.32","21.83","27","19","21.83","12","10","30.21","8h 59m"
"X2...1630","me/portland/KPWM","2023-12-13","42","28","33.96","0.00","20.6","25","10","20.6","22","10","30.34","8h 58m"
"X2...1631","me/portland/KPWM","2023-12-14","33","19","27.42","0.00","11.42","16","9","11.42","14","10","30.49","8h 57m"
"X2...1632","me/portland/KPWM","2023-12-15","51","28","35.54","0.00","25.88","34","17","25.88","9","10","30.19","8h 57m"
"X2...1633","me/portland/KPWM","2023-12-16","48","25","37.08","0.00","27.13","33","20","27.13","12","10","30.55","8h 56m"
"X2...1634","me/portland/KPWM","2024-10-27","53","34","42.79","0.00","24.17","31","21","24.17","21","10","30.24","10h 28m"
"X2...1635","me/portland/KPWM","2024-10-28","48","28","38.54","0.00","15.58","29","8","15.58","13","10","30.48","10h 25m"
"X2...1636","me/portland/KPWM","2024-10-29","51","25","40.48","0.00","30.65","43","20","30.65","10","10","30.52","10h 22m"
"X2...1637","me/portland/KPWM","2024-10-30","55","48","51","0.24","50.32","54","46","50.32","10","10","30.4","10h 20m"
"X2...1638","me/portland/KPWM","2024-10-31","76","49","59.03","0.01","52.76","58","49","52.76","13","10","30.02","10h 17m"
"X2...1639","me/portland/KPWM","2024-11-01","74","54","65.83","0.01","40.13","59","0","40.13","20","10","29.96","10h 14m"
"X2...1640","me/portland/KPWM","2024-11-02","53","31","44.42","0.00","31.13","42","25","31.13","14","10","30.3","10h 12m"
"X2...1641","me/portland/KPWM","2024-11-03","47","25","35.91","0.00","24.57","28","22","24.57","12","10","30.45","10h 9m"
"X2...1642","me/portland/KPWM","2024-11-04","49","27","40","0.00","32.84","44","21","32.84","12","10","30.53","10h 6m"
"X2...1643","me/portland/KPWM","2024-11-05","64","49","54.07","0.10","50.11","53","45","50.11","13","10","30.18","10h 4m"
"X2...1644","me/portland/KPWM","2024-11-06","78","60","67.13","0.00","56.75","59","53","56.75","17","10","29.83","10h 1m"
"X2...1645","me/portland/KPWM","2024-11-07","65","37","54.46","0.00","42.08","53","31","42.08","17","10","29.94","9h 59m"
"X2...1646","me/portland/KPWM","2024-11-08","59","38","46.92","0.00","34.17","39","26","34.17","23","10","29.9","9h 56m"
"X2...1647","me/portland/KPWM","2024-11-09","48","31","41.79","0.00","19.63","25","15","19.63","22","10","30.29","9h 54m"
"X2...1648","me/portland/KPWM","2024-11-10","53","25","41.96","0.00","25.5","39","19","25.5","14","10","30.28","9h 51m"
"X2...1649","me/portland/KPWM","2024-11-11","65","47","53.14","0.01","44.24","50","39","44.24","18","10","29.72","9h 49m"
"X2...1650","me/portland/KPWM","2024-11-12","51","34","44.75","0.00","30.21","42","18","30.21","25","10","30.23","9h 47m"
"X2...1651","me/portland/KPWM","2024-11-13","43","28","34.5","0.00","13.88","20","9","13.88","20","10","30.44","9h 44m"
"X2...1652","me/portland/KPWM","2024-11-14","44","24","32.83","0.00","11.42","15","5","11.42","12","10","30.41","9h 42m"
"X2...1653","me/portland/KPWM","2024-11-15","57","23","41.63","0.00","19.63","27","13","19.63","20","10","29.93","9h 40m"
"X2...1654","me/portland/KPWM","2024-11-16","54","37","45.71","0.00","29.58","34","25","29.58","16","10","29.77","9h 38m"
"X2...1655","me/portland/KPWM","2024-11-17","59","34","45.9","0.00","28.75","33","25","28.75","15","10","29.89","9h 35m"
"X2...1656","or/portland/KPDX","2019-10-27","59","34","41.07","0.00","33.4","39","23","33.4","13","10","30.44","10h 23m"
"X2...1657","or/portland/KPDX","2019-10-28","56","33","42.75","0.00","32.33","36","30","32.33","9","10","30.28","10h 20m"
"X2...1658","or/portland/KPDX","2019-10-29","47","36","41.54","0.00","8.17","25","4","8.17","33","10","30.45","10h 17m"
"X2...1659","or/portland/KPDX","2019-10-30","53","36","43.38","0.00","14.04","23","7","14.04","23","10","30.37","10h 14m"
"X2...1660","or/portland/KPDX","2019-10-31","54","30","41.04","0.00","24.08","31","17","24.08","5","10","30.37","10h 11m"
"X2...1661","or/portland/KPDX","2019-11-01","62","32","44.71","0.00","28.42","34","22","28.42","16","10","30.39","10h 8m"
"X2...1662","or/portland/KPDX","2019-11-02","62","35","46.96","0.00","34.04","40","29","34.04","9","10","30.27","10h 5m"
"X2...1663","or/portland/KPDX","2019-11-03","58","37","46.88","0.00","37.68","44","31","37.68","6","10","30.21","10h 2m"
"X2...1664","or/portland/KPDX","2019-11-04","53","37","42.83","0.00","39.88","45","34","39.88","7","10","30.21","10h 0m"
"X2...1665","or/portland/KPDX","2019-11-05","49","35","42.95","0.00","40.79","44","33","40.79","6","8","30.17","9h 57m"
"X2...1666","or/portland/KPDX","2019-11-06","66","43","50.23","0.00","40.96","44","34","40.96","16","10","30.21","9h 54m"
"X2...1667","or/portland/KPDX","2019-11-07","61","37","47.83","0.00","38.63","41","36","38.63","9","10","30.17","9h 51m"
"X2...1668","or/portland/KPDX","2019-11-08","62","38","49.58","0.00","38.58","41","35","38.58","12","10","30.21","9h 49m"
"X2...1669","or/portland/KPDX","2019-11-09","51","43","48.74","0.00","45.44","49","39","45.44","6","10","30.26","9h 46m"
"X2...1670","or/portland/KPDX","2019-11-10","54","48","51.86","0.23","49.3","51","46","49.3","8","10","30.26","9h 43m"
"X2...1671","or/portland/KPDX","2019-11-11","62","44","49.63","0.01","42.8","47","38","42.8","14","10","30.26","9h 41m"
"X2...1672","or/portland/KPDX","2019-11-12","51","46","48.46","0.00","43.08","47","37","43.08","12","10","30.16","9h 38m"
"X2...1673","or/portland/KPDX","2019-11-13","53","46","48.47","0.17","44.7","47","41","44.7","9","10","30.15","9h 36m"
"X2...1674","or/portland/KPDX","2019-11-14","56","44","49.46","0.00","40.5","42","39","40.5","15","10","30.04","9h 33m"
"X2...1675","or/portland/KPDX","2019-11-15","58","45","50.08","0.02","46.13","52","40","46.13","16","10","30.29","9h 31m"
"X2...1676","or/portland/KPDX","2019-11-16","56","46","49.46","0.11","46.54","49","45","46.54","8","10","30.33","9h 28m"
"X2...1677","or/portland/KPDX","2019-11-17","55","50","53.29","0.00","49.79","52","47","49.79","9","10","30.21","9h 26m"
"X2...1678","or/portland/KPDX","2019-11-18","58","52","53.83","0.08","50.73","56","47","50.73","22","10","30.15","9h 24m"
"X2...1679","or/portland/KPDX","2019-11-19","55","47","51.38","0.31","46.24","49","42","46.24","12","10","30.03","9h 21m"
"X2...1680","or/portland/KPDX","2019-11-20","58","41","46.67","0.29","38.8","43","31","38.8","10","10","30.09","9h 19m"
"X2...1681","or/portland/KPDX","2019-11-21","56","34","41.44","0.00","34.31","38","30","34.31","12","10","30.11","9h 17m"
"X2...1682","or/portland/KPDX","2019-11-22","50","32","37.49","0.00","33.34","36","30","33.34","6","10","30.32","9h 15m"
"X2...1683","or/portland/KPDX","2019-11-23","50","32","38.47","0.00","34.69","39","30","34.69","8","10","30.37","9h 13m"
"X2...1684","or/portland/KPDX","2019-11-24","51","41","46.36","0.00","41.93","43","39","41.93","7","10","30.34","9h 11m"
"X2...1685","or/portland/KPDX","2019-11-25","50","41","44.77","0.20","38.27","42","35","38.27","13","10","30.21","9h 9m"
"X2...1686","or/portland/KPDX","2019-11-26","44","41","42.22","0.01","34.22","39","27","34.22","28","10","30.09","9h 7m"
"X2...1687","or/portland/KPDX","2019-11-27","47","39","42.5","0.09","24.54","28","21","24.54","25","10","29.68","9h 5m"
"X2...1688","or/portland/KPDX","2019-11-28","44","37","39.88","0.00","22.54","25","19","22.54","24","10","29.86","9h 3m"
"X2...1689","or/portland/KPDX","2019-11-29","45","27","35.5","0.00","21.46","26","18","21.46","13","10","29.96","9h 1m"
"X2...1690","or/portland/KPDX","2019-11-30","45","27","36.42","0.00","20.21","28","16","20.21","29","10","30.04","9h 0m"
"X2...1691","or/portland/KPDX","2019-12-01","43","35","39.54","0.03","30.25","38","28","30.25","22","10","30.03","8h 58m"
"X2...1692","or/portland/KPDX","2019-12-02","47","32","38","0.09","31.25","35","29","31.25","10","10","30.19","8h 57m"
"X2...1693","or/portland/KPDX","2019-12-03","48","33","39.83","0.00","33.96","37","30","33.96","8","10","30.21","8h 55m"
"X2...1694","or/portland/KPDX","2019-12-04","49","38","44.13","0.00","38.17","40","36","38.17","8","10","29.97","8h 54m"
"X2...1695","or/portland/KPDX","2019-12-05","53","41","45","0.00","37.92","39","37","37.92","12","10","30.04","8h 52m"
"X2...1696","or/portland/KPDX","2019-12-06","49","39","44.63","0.00","37.63","41","36","37.63","14","10","29.95","8h 51m"
"X2...1697","or/portland/KPDX","2019-12-07","46","43","44.66","0.33","41.54","43","39","41.54","13","10","29.84","8h 50m"
"X2...1698","or/portland/KPDX","2019-12-08","52","45","48.05","0.38","45.2","47","43","45.2","9","10","30.21","8h 49m"
"X2...1699","or/portland/KPDX","2019-12-09","48","39","44.75","0.00","40.59","46","36","40.59","9","10","30.23","8h 48m"
"X2...1700","or/portland/KPDX","2019-12-10","45","38","41.86","0.00","37.52","41","33","37.52","13","10","30.19","8h 47m"
"X2...1701","or/portland/KPDX","2019-12-11","47","42","43.67","0.00","40.7","45","39","40.7","17","10","30.09","8h 46m"
"X2...1702","or/portland/KPDX","2019-12-12","53","46","49.27","0.29","44.8","48","42","44.8","12","10","30.15","8h 45m"
"X2...1703","or/portland/KPDX","2019-12-13","49","41","44.71","0.31","41.23","43","39","41.23","8","10","30.16","8h 44m"
"X2...1704","or/portland/KPDX","2019-12-14","47","40","43.43","0.00","39.91","42","37","39.91","8","10","30.03","8h 44m"
"X2...1705","or/portland/KPDX","2019-12-15","44","37","40.76","0.03","37.22","39","35","37.22","6","10","30.31","8h 43m"
"X2...1706","or/portland/KPDX","2019-12-16","47","37","40.71","0.00","33.42","35","30","33.42","12","10","30.39","8h 42m"
"X2...1707","or/portland/KPDX","2020-10-27","60","32","44","0.00","34.88","42","27","34.88","6","10","30.43","10h 20m"
"X2...1708","or/portland/KPDX","2020-10-28","64","38","45.65","0.00","41.15","49","35","41.15","6","10","30.29","10h 17m"
"X2...1709","or/portland/KPDX","2020-10-29","58","44","51.2","0.00","46.53","50","42","46.53","5","10","30.14","10h 15m"
"X2...1710","or/portland/KPDX","2020-10-30","60","43","50.94","0.00","45.89","51","39","45.89","12","10","30.3","10h 12m"
"X2...1711","or/portland/KPDX","2020-10-31","62","37","44.07","0.06","38.51","43","35","38.51","8","10","30.37","10h 9m"
"X2...1712","or/portland/KPDX","2020-11-01","64","38","50.28","0.00","38.92","42","35","38.92","13","10","30.21","10h 6m"
"X2...1713","or/portland/KPDX","2020-11-02","65","38","51.63","0.00","39.83","43","36","39.83","13","10","30.15","10h 3m"
"X2...1714","or/portland/KPDX","2020-11-03","61","47","52.21","0.00","48.62","57","41","48.62","13","10","30","10h 0m"
"X2...1715","or/portland/KPDX","2020-11-04","67","61","64.32","0.39","56.6","59","55","56.6","17","10","30.17","9h 57m"
"X2...1716","or/portland/KPDX","2020-11-05","63","50","55.26","0.03","51.71","57","48","51.71","15","10","30.18","9h 55m"
"X2...1717","or/portland/KPDX","2020-11-06","52","41","48.18","0.75","44.5","49","37","44.5","12","10","29.83","9h 52m"
"X2...1718","or/portland/KPDX","2020-11-07","47","36","42.05","0.16","37.25","41","33","37.25","17","10","29.83","9h 49m"
"X2...1719","or/portland/KPDX","2020-11-09","46","31","36.67","0.00","32.13","37","27","32.13","17","10","30.27","9h 44m"
"X2...1720","or/portland/KPDX","2020-11-10","51","42","45.33","0.02","40.3","44","38","40.3","15","10","30.13","9h 41m"
"X2...1721","or/portland/KPDX","2020-11-11","51","37","43.74","0.04","39.22","42","34","39.22","7","10","30.17","9h 39m"
"X2...1722","or/portland/KPDX","2020-11-12","49","37","42.56","0.00","36.88","43","34","36.88","13","10","30.14","9h 36m"
"X2...1723","or/portland/KPDX","2020-11-13","53","42","47.38","0.35","42.06","48","37","42.06","23","10","30.03","9h 34m"
"X2...1724","or/portland/KPDX","2020-11-14","49","43","46.06","0.70","42.37","46","38","42.37","16","10","30.15","9h 31m"
"X2...1725","or/portland/KPDX","2020-11-15","56","46","50.76","0.67","46.08","48","44","46.08","17","10","30.14","9h 29m"
"X2...1726","or/portland/KPDX","2020-11-16","52","47","49.64","0.03","45.5","47","44","45.5","18","10","30.1","9h 27m"
"X2...1727","or/portland/KPDX","2020-11-17","57","48","51.92","0.14","45.88","53","43","45.88","20","10","29.71","9h 24m"
"X2...1728","or/portland/KPDX","2020-11-18","51","45","47.73","0.14","43.93","48","41","43.93","17","10","29.96","9h 22m"
"X2...1729","or/portland/KPDX","2020-11-19","51","44","46.81","0.83","42.22","45","40","42.22","16","10","30.44","9h 20m"
"X2...1730","or/portland/KPDX","2020-11-20","50","34","40.34","0.02","36.89","42","32","36.89","6","10","30.48","9h 17m"
"X2...1731","or/portland/KPDX","2020-11-21","41","36","38.98","0.00","37","39","34","37","9","10","30.47","9h 15m"
"X2...1732","or/portland/KPDX","2020-11-22","46","34","39.39","0.00","35.42","40","31","35.42","10","10","30.15","9h 13m"
"X2...1733","or/portland/KPDX","2020-11-23","51","42","45.54","0.05","42.34","47","38","42.34","13","10","30.19","9h 11m"
"X2...1734","or/portland/KPDX","2020-11-24","51","41","45.32","0.15","40.71","45","38","40.71","14","10","30.19","9h 9m"
"X2...1735","or/portland/KPDX","2020-11-25","50","42","46.06","0.30","42.35","47","39","42.35","10","10","30.32","9h 7m"
"X2...1736","or/portland/KPDX","2020-11-26","50","42","46.59","0.01","42.34","44","39","42.34","8","10","30.48","9h 5m"
"X2...1737","or/portland/KPDX","2020-11-27","48","34","39.32","0.00","36.71","41","31","36.71","9","10","30.39","9h 4m"
"X2...1738","or/portland/KPDX","2020-11-28","44","38","41.69","0.00","39.11","42","35","39.11","8","10","30.37","9h 2m"
"X2...1739","or/portland/KPDX","2020-11-29","52","38","41.77","0.11","38.56","41","35","38.56","13","10","30.3","9h 0m"
"X2...1740","or/portland/KPDX","2020-11-30","50","32","44.07","0.14","39.76","47","30","39.76","21","10","30.53","8h 59m"
"X2...1741","or/portland/KPDX","2020-12-01","51","32","39.18","0.22","32.53","41","27","32.53","26","10","30.56","8h 57m"
"X2...1742","or/portland/KPDX","2020-12-02","54","45","48.54","0.00","26.96","28","25","26.96","25","10","30.27","8h 55m"
"X2...1743","or/portland/KPDX","2020-12-03","47","36","43.04","0.00","31","34","29","31","14","10","30.46","8h 54m"
"X2...1744","or/portland/KPDX","2020-12-04","52","31","40.46","0.00","31.04","35","27","31.04","16","10","30.47","8h 53m"
"X2...1745","or/portland/KPDX","2020-12-05","45","39","41.63","0.00","29.79","33","29","29.79","21","10","30.21","8h 51m"
"X2...1746","or/portland/KPDX","2020-12-06","45","37","41.08","0.04","37.5","41","33","37.5","16","10","30.52","8h 50m"
"X2...1747","or/portland/KPDX","2020-12-07","48","35","42.82","0.01","35.45","37","33","35.45","18","10","30.44","8h 49m"
"X2...1748","or/portland/KPDX","2020-12-08","51","38","44.63","0.00","38.89","45","34","38.89","12","10","30.28","8h 48m"
"X2...1749","or/portland/KPDX","2020-12-09","53","41","46.14","0.32","42.84","48","38","42.84","9","10","30.38","8h 47m"
"X2...1750","or/portland/KPDX","2020-12-10","45","39","41.59","0.00","38.22","42","35","38.22","10","10","30.25","8h 46m"
"X2...1751","or/portland/KPDX","2020-12-11","44","39","41.53","0.10","37.74","40","35","37.74","15","10","30.11","8h 45m"
"X2...1752","or/portland/KPDX","2020-12-12","47","36","40.47","0.43","33.5","39","30","33.5","24","10","30.23","8h 44m"
"X2...1753","or/portland/KPDX","2020-12-13","42","39","40.67","0.08","36.77","38","35","36.77","20","10","30.15","8h 44m"
"X2...1754","or/portland/KPDX","2020-12-14","49","41","44.72","0.23","40.21","42","37","40.21","17","10","30.32","8h 43m"
"X2...1755","or/portland/KPDX","2020-12-15","51","42","46.94","0.00","42.97","47","38","42.97","20","10","30.21","8h 43m"
"X2...1756","or/portland/KPDX","2020-12-16","52","46","48.35","0.13","44.52","48","42","44.52","20","10","30.18","8h 42m"
"X2...1757","or/portland/KPDX","2021-10-27","58","52","54.88","0.18","48.65","50","47","48.65","9","10","30.28","10h 21m"
"X2...1758","or/portland/KPDX","2021-10-28","69","53","63.33","0.03","56.41","59","49","56.41","13","10","30.17","10h 18m"
"X2...1759","or/portland/KPDX","2021-10-29","62","45","54.24","0.41","47.53","59","39","47.53","15","10","30.13","10h 15m"
"X2...1760","or/portland/KPDX","2021-10-30","60","41","52.17","0.06","30.25","40","23","30.25","29","10","30.07","10h 12m"
"X2...1761","or/portland/KPDX","2021-10-31","61","51","55","0.00","29.54","32","26","29.54","23","10","30","10h 9m"
"X2...1762","or/portland/KPDX","2021-11-01","53","47","49.64","0.00","37.48","42","29","37.48","17","10","30.11","10h 7m"
"X2...1763","or/portland/KPDX","2021-11-02","53","46","50.38","0.19","42.5","45","40","42.5","15","10","30.18","10h 4m"
"X2...1764","or/portland/KPDX","2021-11-03","58","48","53.21","0.03","44.83","48","43","44.83","15","10","30.14","10h 1m"
"X2...1765","or/portland/KPDX","2021-11-04","61","50","54.93","0.28","48.26","52","43","48.26","18","10","30.04","9h 58m"
"X2...1766","or/portland/KPDX","2021-11-05","56","47","51.88","0.19","43.48","47","39","43.48","14","10","30.03","9h 55m"
"X2...1767","or/portland/KPDX","2021-11-06","53","43","47.24","0.19","40.47","44","38","40.47","17","10","30.09","9h 53m"
"X2...1768","or/portland/KPDX","2021-11-07","51","44","47.2","0.39","40","42","38","40","20","10","30.15","9h 50m"
"X2...1769","or/portland/KPDX","2021-11-08","56","43","50.32","0.12","38.76","42","32","38.76","17","10","30.15","9h 47m"
"X2...1770","or/portland/KPDX","2021-11-09","55","47","50.1","0.28","42.67","48","38","42.67","16","10","30.26","9h 45m"
"X2...1771","or/portland/KPDX","2021-11-10","55","46","50.29","0.15","43","46","41","43","16","10","30.31","9h 42m"
"X2...1772","or/portland/KPDX","2021-11-11","62","50","53.44","0.08","50.67","58","46","50.67","16","10","30.19","9h 39m"
"X2...1773","or/portland/KPDX","2021-11-12","63","51","59.63","1.79","56.27","58","49","56.27","16","10","30.32","9h 37m"
"X2...1774","or/portland/KPDX","2021-11-13","63","46","51.4","0.98","48.6","56","45","48.6","20","10","30.34","9h 34m"
"X2...1775","or/portland/KPDX","2021-11-14","66","60","63.16","0.00","54.8","56","52","54.8","21","10","30.11","9h 32m"
"X2...1776","or/portland/KPDX","2021-11-15","62","44","54.85","0.00","46.37","53","37","46.37","24","10","30.26","9h 30m"
"X2...1777","or/portland/KPDX","2021-11-16","51","39","44.67","0.19","37.25","39","36","37.25","8","10","30.43","9h 27m"
"X2...1778","or/portland/KPDX","2021-11-17","52","35","43.63","0.00","31.47","37","27","31.47","22","10","30.43","9h 25m"
"X2...1779","or/portland/KPDX","2021-11-18","50","44","46.73","0.00","34.73","42","27","34.73","18","10","29.99","9h 23m"
"X2...1780","or/portland/KPDX","2021-11-19","55","44","48.77","0.32","43.06","50","40","43.06","16","10","30.42","9h 20m"
"X2...1781","or/portland/KPDX","2021-11-20","52","36","45.37","0.08","39","43","33","39","7","10","30.5","9h 18m"
"X2...1782","or/portland/KPDX","2021-11-21","46","35","38.29","0.00","35.64","38","33","35.64","8","10","30.49","9h 16m"
"X2...1783","or/portland/KPDX","2021-11-22","48","33","39.11","0.00","35.55","41","32","35.55","10","10","30.21","9h 14m"
"X2...1784","or/portland/KPDX","2021-11-23","52","40","46.37","0.38","40.53","43","36","40.53","15","10","30.37","9h 12m"
"X2...1785","or/portland/KPDX","2021-11-24","47","39","42.56","0.14","39.08","42","36","39.08","6","10","30.44","9h 10m"
"X2...1786","or/portland/KPDX","2021-11-25","56","43","49.04","0.00","39.2","44","36","39.2","13","10","30.33","9h 8m"
"X2...1787","or/portland/KPDX","2021-11-26","54","48","51.09","0.23","46.97","49","43","46.97","12","10","30.25","9h 6m"
"X2...1788","or/portland/KPDX","2021-11-27","63","51","54.9","0.00","51.2","57","48","51.2","16","10","30.17","9h 4m"
"X2...1789","or/portland/KPDX","2021-11-28","62","53","58.92","0.20","51.42","55","49","51.42","15","10","30.21","9h 2m"
"X2...1790","or/portland/KPDX","2021-11-29","57","50","54.76","0.18","51.61","54","49","51.61","12","10","30.28","9h 1m"
"X2...1791","or/portland/KPDX","2021-11-30","59","51","54.74","0.02","49.63","51","48","49.63","13","10","30.3","8h 59m"
"X2...1792","or/portland/KPDX","2021-12-01","62","49","54.58","0.02","49.17","52","46","49.17","7","10","30.27","8h 57m"
"X2...1793","or/portland/KPDX","2021-12-02","54","43","50.36","0.00","42.16","50","35","42.16","10","10","30.32","8h 56m"
"X2...1794","or/portland/KPDX","2021-12-03","49","37","40.94","0.00","34.58","37","33","34.58","7","10","30.3","8h 54m"
"X2...1795","or/portland/KPDX","2021-12-04","51","37","46","0.00","42.08","48","34","42.08","22","10","30.36","8h 53m"
"X2...1796","or/portland/KPDX","2021-12-05","47","34","41.4","0.15","35.32","38","30","35.32","9","10","30.55","8h 52m"
"X2...1797","or/portland/KPDX","2021-12-06","48","41","43.7","0.04","40.33","45","34","40.33","12","10","30.28","8h 50m"
"X2...1798","or/portland/KPDX","2021-12-07","47","44","45.83","0.64","43.1","44","41","43.1","15","10","30.04","8h 49m"
"X2...1799","or/portland/KPDX","2021-12-08","51","37","45.86","0.06","39.66","46","33","39.66","16","10","30.04","8h 48m"
"X2...1800","or/portland/KPDX","2021-12-09","45","39","41.83","0.00","36.1","38","35","36.1","14","10","30.08","8h 47m"
"X2...1801","or/portland/KPDX","2021-12-10","50","42","45.18","0.12","37.65","40","35","37.65","18","10","30.17","8h 46m"
"X2...1802","or/portland/KPDX","2021-12-11","50","45","47.41","0.12","41.07","44","37","41.07","28","10","29.86","8h 45m"
"X2...1803","or/portland/KPDX","2021-12-12","47","41","43.49","0.81","37.63","39","36","37.63","15","10","29.7","8h 45m"
"X2...1804","or/portland/KPDX","2021-12-13","44","35","41.75","0.62","36.75","39","32","36.75","15","10","29.65","8h 44m"
"X2...1805","or/portland/KPDX","2021-12-14","45","35","39.06","0.19","32.56","34","31","32.56","9","10","29.88","8h 43m"
"X2...1806","or/portland/KPDX","2021-12-15","42","38","39.7","0.00","33.19","35","30","33.19","18","10","29.86","8h 43m"
"X2...1807","or/portland/KPDX","2021-12-16","47","39","42.23","0.41","37.58","40","35","37.58","12","10","30.21","8h 42m"
"X2...1808","or/portland/KPDX","2022-10-27","62","46","53.79","0.35","42.58","46","39","42.58","8","10","30.19","10h 22m"
"X2...1809","or/portland/KPDX","2022-10-28","55","51","52.98","0.00","49.49","52","44","49.49","12","10","30.24","10h 19m"
"X2...1810","or/portland/KPDX","2022-10-29","58","53","55.04","0.67","51.48","54","49","51.48","6","10","30.3","10h 16m"
"X2...1811","or/portland/KPDX","2022-10-30","59","53","56.09","0.01","50.39","54","47","50.39","15","10","30.25","10h 13m"
"X2...1812","or/portland/KPDX","2022-10-31","58","48","54.29","0.00","49.31","53","45","49.31","17","10","29.99","10h 10m"
"X2...1813","or/portland/KPDX","2022-11-01","53","44","47.72","1.08","42.07","46","39","42.07","13","10","29.79","10h 7m"
"X2...1814","or/portland/KPDX","2022-11-02","48","41","44.44","0.10","38.81","41","36","38.81","15","10","30.16","10h 5m"
"X2...1815","or/portland/KPDX","2022-11-03","49","42","45.11","0.05","38.79","40","37","38.79","13","10","30.27","10h 2m"
"X2...1816","or/portland/KPDX","2022-11-04","59","47","55.31","0.10","50.88","55","41","50.88","23","10","30.03","9h 59m"
"X2...1817","or/portland/KPDX","2022-11-05","59","46","50.56","1.84","42.48","55","38","42.48","21","10","30","9h 56m"
"X2...1818","or/portland/KPDX","2022-11-06","49","39","43","0.03","38.36","42","36","38.36","23","10","29.84","9h 53m"
"X2...1819","or/portland/KPDX","2022-11-07","44","37","41.46","0.70","36.75","39","34","36.75","15","10","29.74","9h 51m"
"X2...1820","or/portland/KPDX","2022-11-08","51","38","43.82","0.09","35.61","40","30","35.61","23","10","29.84","9h 48m"
"X2...1821","or/portland/KPDX","2022-11-09","49","35","41.25","0.00","32.33","36","29","32.33","9","10","30.3","9h 45m"
"X2...1822","or/portland/KPDX","2022-11-10","52","34","43.38","0.00","36.46","39","31","36.46","6","10","30.38","9h 43m"
"X2...1823","or/portland/KPDX","2022-11-11","49","37","44.21","0.00","31.29","37","29","31.29","21","10","30.21","9h 40m"
"X2...1824","or/portland/KPDX","2022-11-12","53","40","45.33","0.00","31.96","34","29","31.96","15","10","30.3","9h 38m"
"X2...1825","or/portland/KPDX","2022-11-13","47","31","37.36","0.00","33.24","37","28","33.24","7","10","30.37","9h 35m"
"X2...1826","or/portland/KPDX","2022-11-14","55","30","42.48","0.00","29.88","35","26","29.88","30","10","30.4","9h 33m"
"X2...1827","or/portland/KPDX","2022-11-15","54","41","46.54","0.00","26.96","29","25","26.96","23","10","30.54","9h 30m"
"X2...1828","or/portland/KPDX","2022-11-16","47","34","40.83","0.00","28.17","30","26","28.17","15","10","30.54","9h 28m"
"X2...1829","or/portland/KPDX","2022-11-17","48","38","42.64","0.00","23.95","27","16","23.95","30","10","30.46","9h 25m"
"X2...1830","or/portland/KPDX","2022-11-18","50","37","43.42","0.00","17.33","21","14","17.33","21","10","30.45","9h 23m"
"X2...1831","or/portland/KPDX","2022-11-19","46","36","40.5","0.00","21.38","25","17","21.38","18","10","30.35","9h 21m"
"X2...1832","or/portland/KPDX","2022-11-20","47","33","38.96","0.00","24.38","26","21","24.38","13","10","30.34","9h 19m"
"X2...1833","or/portland/KPDX","2022-11-21","46","37","41.46","0.00","26.83","29","25","26.83","13","10","30.29","9h 16m"
"X2...1834","or/portland/KPDX","2022-11-22","52","40","45.18","0.00","38.38","48","27","38.38","22","10","30.24","9h 14m"
"X2...1835","or/portland/KPDX","2022-11-23","46","38","42.06","0.31","40.41","44","37","40.41","6","10","30.39","9h 12m"
